ID,title,price,state,remarke,last
4304973,ドラゴンボールZ History Box vol.2 超サイヤ人 孫悟空,880円,未開封,,
4304982,ドラゴンボールZ Q posket -CHICHI- A,"1,320円",未開封,,
4305004,ドラゴンボールZ Q posket -CHICHI- B,"1,320円",未開封,,
4305328,ドラゴンボールGT 超人技画 SUPER SAIYAN4 SON GOKU 超サイヤ人4孫悟空,"1,210円",未開封,,
4311048,ドラゴンボール超 超戦士列伝 II ～第七章 時を超えた親子～ トランクス,770円,未開封,箱イタミ有,1点
4206334,ドラゴンボール改 組立式ハイクオリティDXフィギュア VOL.2 ピッコロ,"2,200円",未開封,箱イタミ有,1点
4219391,ドラゴンボールZ GLITTER&GLAMOURS -VIDEL- A,"1,320円",未開封,,
2318486,ドラゴンボール超 TAG FIGHTERS -SON GOKOU- 孫悟空,880円,未開封,,
3151249,DRAGONBALL Z DOKKAN BATTLE COLLAB -超サイヤ人2 孫悟空-,"1,540円",未開封,,
3130445,ドラゴンボールGT 逆転の必殺奥義 龍拳爆発!! 超サイヤ人 孫悟空,"1,320円",未開封,箱イタミ,1点
4412871,ドラゴンボールZ 地球育ちのサイヤ人-孫悟空(界王拳)-,"2,420円",未開封,,1点
4412873,"ドラゴンボール超 地球育ちのサイヤ人-孫悟空(身勝手の極意""兆"")-","1,980円",未開封,,1点
4412877,ドラゴンボール超 地球育ちのサイヤ人-孫悟空(身勝手の極意)-,"2,420円",未開封,,1点
